City,community_id,Community,Latitude,Longitude,Pincode,Tonnage Apr 2025,Trees Saved Apr 2025,CO2 Kgs Averted Apr 2025,Households Participation % Apr 2025,Segregation Compliance % Apr 2025,Tonnage May 2025,Trees Saved May 2025,CO2 Kgs Averted May 2025,Households Participation % May 2025,Segregation Compliance % May 2025,Tonnage Jun 2025,Trees Saved Jun 2025,CO2 Kgs Averted Jun 2025,Households Participation % Jun 2025,Segregation Compliance % Jun 2025,Tonnage Jul 2025,Trees Saved Jul 2025,CO2 Kgs Averted Jul 2025,Households Participation % Jul 2025,Segregation Compliance % Jul 2025,Tonnage Aug 2025,Trees Saved Aug 2025,CO2 Kgs Averted Aug 2025,Households Participation % Aug 2025,Segregation Compliance % Aug 2025,Tonnage Sep 2025,Trees Saved Sep 2025,CO2 Kgs Averted Sep 2025,Households Participation % Sep 2025,Segregation Compliance % Sep 2025,Tonnage Oct 2025,Trees Saved Oct 2025,CO2 Kgs Averted Oct 2025,Households Participation % Oct 2025,Segregation Compliance % Oct 2025
Hyderabad,335,C405,17.47549,78.38109,500085,604.37,5.426,1329.614,25.93,,430.97,3.869,948.134,23.27,,508.51,4.565,1118.722,25.28,,620.2,5.568,1364.44,25.08,,465.39,4.178,1023.858,26.82,,562.25,5.048,1236.95,25.03,,520.81,4.676,1145.782,25.14,
Hyderabad,35,C406,17.51965,78.38262,500090,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,467,C407,17.48891,78.38678,500072,30.21,0.271,66.462,23.64,,25.69,0.231,56.518,25,,26.79,0.241,58.938,36.36,,33.74,0.303,74.228,30.91,,27.27,0.245,59.994,25,,35.03,0.314,77.066,25,,22.76,0.204,50.072,21.82,
Hyderabad,484,C408,17.49018,78.38713,500085,4.87,0.044,10.714,3.16,,0,0,0,0,,0,0,0,0,,1.52,0.014,3.344,1.05,,2.35,0.021,5.17,2.63,,0,0,0,0,,0,0,0,0,
Hyderabad,54,C409,17.44276,78.38764,500081,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,295,C410,17.43957,78.38831,500081,289.85,2.602,637.67,17.81,,189.65,1.703,417.23,18.44,,214.43,1.925,471.746,17.62,,274.79,2.467,604.538,18.63,,207.19,1.86,455.818,18.9,,273.6,2.456,601.92,17.56,,213.52,1.917,469.744,15.45,
Hyderabad,277,C411,17.43933,78.39044,500081,181.48,1.629,399.256,11,,181,1.625,398.2,16.1,,175.63,1.577,386.386,18.22,,235.97,2.118,519.134,17.29,,196.05,1.76,431.31,17.27,,219.79,1.973,483.538,15.73,,165.89,1.489,364.958,16.88,
Hyderabad,57,C412,17.55404,78.39052,500043,153.78,1.381,338.316,40,,91.51,0.822,201.322,33,,93.73,0.841,206.206,39,,113.78,1.021,250.316,37.6,,97.42,0.875,214.324,38,,101.72,0.913,223.784,37.6,,78.08,0.701,171.776,36,
Hyderabad,541,C413,17.47542,78.39054,500072,386.23,3.467,849.706,35.49,,258.08,2.317,567.776,33.93,,369.71,3.319,813.362,33.67,,403.33,3.621,887.326,35.71,,397.46,3.568,874.412,34.08,,437.1,3.924,961.62,35.22,,479.06,4.301,1053.932,36.14,
Hyderabad,37,C414,17.44858,78.3908,500081,35.91,0.322,79.002,45.71,,28.05,0.252,61.71,39.29,,27.51,0.247,60.522,38.71,,34.56,0.31,76.032,22,,23,0.206,50.6,20,,30.6,0.275,67.32,26,,37.96,0.341,83.512,32.5,
Hyderabad,426,C415,17.47733,78.3918,500085,1766.56,15.859,3886.432,24.61,,1220.82,10.96,2685.804,21.02,,1277.56,11.469,2810.632,22.49,,1570.74,14.101,3455.628,22.94,,1218.92,10.943,2681.624,20.05,,1458.38,13.093,3208.436,21.68,,1923.85,17.271,4232.47,20.78,
Hyderabad,52,C416,17.4745,78.3926,500072,558.13,5.011,1227.886,17,,379.13,3.404,834.086,14.68,,404.36,3.63,889.592,15.28,,453.29,4.069,997.238,13.77,,413.99,3.717,910.778,13.78,,460.47,4.134,1013.034,14.16,,443.6,3.982,975.92,13.76,
Hyderabad,529,C417,17.25919,78.39289,501218,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,19,C418,17.48754,78.39535,500072,40.15,0.36,88.33,27.5,,33.7,0.303,74.14,15.63,,50.77,0.456,111.694,15.15,,27.59,0.248,60.698,13.33,,37.15,0.334,81.73,23.68,,46.5,0.417,102.3,18,,50.95,0.457,112.09,20,
Hyderabad,34,C419,17.51864,78.39625,500090,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
